time[s],wz1[dps],wz2[dps],wz3[dps],fz1[mps2],fz2[mps2],fz3[mps2]
0.7100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.7200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.7300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.7400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.7500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.7600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.7700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.7800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.7900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.8000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.8100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.8200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.8300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.8400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.8500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.8600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.8700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.8800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.8900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.9000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.9100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.9200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.9300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.9400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.9500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.9600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
